Animal,Height (cm),Weight (kg),Lifespan (years),Diet,Habitat,Average Speed (km/h),Countries Found,Conservation Status,Gestation Period (days),Social Structure,Offspring per Birth,Country,At_Risk
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Ecuador,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Argentina,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Chile,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Venezuela,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Paraguay,False
Sloth,55.0,6.3,13.0,Herbivore,Rainforests,0.135,Central and South America,Least Concern,150.0,Solitary,1.0,Bolivia,False
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Indonesia,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Thailand,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Vietnam,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Malaysia,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Cambodia,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Laos,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Myanmar,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Philippines,True
Slow Loris,29.0,0.9500000000000001,22.0,Omnivore,Forests,,Southeast Asia,Vulnerable,24.5,Solitary,,Singapore,True
Snow Leopard,60.0,48.5,12.5,Carnivore,"Mountains, Steppes",50.0,Central and South Asia,Vulnerable,95.0,Solitary,3.0,,True
Snowy Owl,61.5,2.45,12.5,Carnivore,"Arctic, North America",80.0,"Arctic, North America",Least Concern,33.0,Solitary,7.0,,False
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Brazil,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Argentina,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Peru,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Colombia,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Chile,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Ecuador,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Venezuela,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Paraguay,True
Spectacled Bear,160.0,56.0,17.5,Omnivore,Forests,45.0,South America,Vulnerable,247.0,Solitary,1.0,Bolivia,True
Sperm Whale,,,55.0,Carnivore,Oceans,60.0,Worldwide,Vulnerable,55.0,Solitary,1.0,Global,True
Spider Monkey,49.5,7.5,30.5,Omnivore,Rainforests,45.0,Central and South America,Vulnerable,135.0,Group-based,1.0,Brazil,True
Spider Monkey,49.5,7.5,30.5,Omnivore,Rainforests,45.0,Central and South America,Vulnerable,135.0,Group-based,1.0,Colombia,True
Spider Monkey,49.5,7.5,30.5,Omnivore,Rainforests,45.0,Central and South America,Vulnerable,135.0,Group-based,1.0,Peru,True
Spider Monkey,49.5,7.5,30.5,Omnivore,Rainforests,45.0,Central and South America,Vulnerable,135.0,Group-based,1.0,Ecuador,True
Spider Monkey,49.5,7.5,30.5,Omnivore,Rainforests,45.0,Central and South America,Vulnerable,135.0,Group-based,1.0,Argentina,True
Spider Monkey,49.5,7.5,30.5,Omnivore,Rainforests,45.0,Central and South America,Vulnerable,135.0,Group-based,1.0,Chile,True
Spider Monkey,49.5,7.5,30.5,Omnivore,Rainforests,45.0,Central and South America,Vulnerable,135.0,Group-based,1.0,Venezuela,True
Spider Monkey,49.5,7.5,30.5,Omnivore,Rainforests,45.0,Central and South America,Vulnerable,135.0,Group-based,1.0,Paraguay,True
Spider Monkey,49.5,7.5,30.5,Omnivore,Rainforests,45.0,Central and South America,Vulnerable,135.0,Group-based,1.0,Bolivia,True
Spotted Hyena,81.0,54.0,18.5,"Carnivore, Scavenger","Grasslands, Savannahs",60.0,Sub-Saharan Africa,Least Concern,100.0,Group-based,2.5,Kenya,False
Spotted Hyena,81.0,54.0,18.5,"Carnivore, Scavenger","Grasslands, Savannahs",60.0,Sub-Saharan Africa,Least Concern,100.0,Group-based,2.5,Uganda,False
Spotted Hyena,81.0,54.0,18.5,"Carnivore, Scavenger","Grasslands, Savannahs",60.0,Sub-Saharan Africa,Least Concern,100.0,Group-based,2.5,Ethiopia,False
Spotted Hyena,81.0,54.0,18.5,"Carnivore, Scavenger","Grasslands, Savannahs",60.0,Sub-Saharan Africa,Least Concern,100.0,Group-based,2.5,Nigeria,False
Spotted Hyena,81.0,54.0,18.5,"Carnivore, Scavenger","Grasslands, Savannahs",60.0,Sub-Saharan Africa,Least Concern,100.0,Group-based,2.5,South Africa,False
Spotted Hyena,81.0,54.0,18.5,"Carnivore, Scavenger","Grasslands, Savannahs",60.0,Sub-Saharan Africa,Least Concern,100.0,Group-based,2.5,Tanzania,False
Spotted Hyena,81.0,54.0,18.5,"Carnivore, Scavenger","Grasslands, Savannahs",60.0,Sub-Saharan Africa,Least Concern,100.0,Group-based,2.5,Zambia,False
Spotted Hyena,81.0,54.0,18.5,"Carnivore, Scavenger","Grasslands, Savannahs",60.0,Sub-Saharan Africa,Least Concern,100.0,Group-based,2.5,Rwanda,False
Spotted Hyena,81.0,54.0,18.5,"Carnivore, Scavenger","Grasslands, Savannahs",60.0,Sub-Saharan Africa,Least Concern,100.0,Group-based,2.5,Malawi,False
Spotted Hyena,81.0,54.0,18.5,"Carnivore, Scavenger","Grasslands, Savannahs",60.0,Sub-Saharan Africa,Least Concern,100.0,Group-based,2.5,Mozambique,False
Squirrel Monkey,30.0,0.75,,Omnivore,Rainforests,30.0,Central and South America,Least Concern,17.5,Group-based,45.0,Brazil,False
Squirrel Monkey,30.0,0.75,,Omnivore,Rainforests,30.0,Central and South America,Least Concern,17.5,Group-based,45.0,Colombia,False
Squirrel Monkey,30.0,0.75,,Omnivore,Rainforests,30.0,Central and South America,Least Concern,17.5,Group-based,45.0,Peru,False
Squirrel Monkey,30.0,0.75,,Omnivore,Rainforests,30.0,Central and South America,Least Concern,17.5,Group-based,45.0,Ecuador,False
Squirrel Monkey,30.0,0.75,,Omnivore,Rainforests,30.0,Central and South America,Least Concern,17.5,Group-based,45.0,Argentina,False
Squirrel Monkey,30.0,0.75,,Omnivore,Rainforests,30.0,Central and South America,Least Concern,17.5,Group-based,45.0,Chile,False
Squirrel Monkey,30.0,0.75,,Omnivore,Rainforests,30.0,Central and South America,Least Concern,17.5,Group-based,45.0,Venezuela,False
Squirrel Monkey,30.0,0.75,,Omnivore,Rainforests,30.0,Central and South America,Least Concern,17.5,Group-based,45.0,Paraguay,False
Squirrel Monkey,30.0,0.75,,Omnivore,Rainforests,30.0,Central and South America,Least Concern,17.5,Group-based,45.0,Bolivia,False
Star-Nosed Mole,16.0,,,Insectivore,"Wetlands, Forests",1.2,North America,Least Concern,19.0,Solitary,6.0,United States of America,False
Star-Nosed Mole,16.0,,,Insectivore,"Wetlands, Forests",1.2,North America,Least Concern,19.0,Solitary,6.0,Canada,False
Star-Nosed Mole,16.0,,,Insectivore,"Wetlands, Forests",1.2,North America,Least Concern,19.0,Solitary,6.0,Mexico,False
Sumatran Orangutan,83.0,39.5,40.0,Omnivore,Rainforests,35.0,Sumatra,Critically Endangered,95.0,Solitary,1.0,,True
Sumatran Rhino,122.5,850.0,37.5,Herbivore,Rainforests,40.0,Southeast Asia,Critically Endangered,535.0,Solitary,1.0,Indonesia,True
Sumatran Rhino,122.5,850.0,37.5,Herbivore,Rainforests,40.0,Southeast Asia,Critically Endangered,535.0,Solitary,1.0,Thailand,True
Sumatran Rhino,122.5,850.0,37.5,Herbivore,Rainforests,40.0,Southeast Asia,Critically Endangered,535.0,Solitary,1.0,Vietnam,True
Sumatran Rhino,122.5,850.0,37.5,Herbivore,Rainforests,40.0,Southeast Asia,Critically Endangered,535.0,Solitary,1.0,Malaysia,True
Sumatran Rhino,122.5,850.0,37.5,Herbivore,Rainforests,40.0,Southeast Asia,Critically Endangered,535.0,Solitary,1.0,Cambodia,True
Sumatran Rhino,122.5,850.0,37.5,Herbivore,Rainforests,40.0,Southeast Asia,Critically Endangered,535.0,Solitary,1.0,Laos,True
Sumatran Rhino,122.5,850.0,37.5,Herbivore,Rainforests,40.0,Southeast Asia,Critically Endangered,535.0,Solitary,1.0,Myanmar,True
Sumatran Rhino,122.5,850.0,37.5,Herbivore,Rainforests,40.0,Southeast Asia,Critically Endangered,535.0,Solitary,1.0,Philippines,True
Sumatran Rhino,122.5,850.0,37.5,Herbivore,Rainforests,40.0,Southeast Asia,Critically Endangered,535.0,Solitary,1.0,Singapore,True
Sumatran Rhinoceros,128.5,725.0,37.5,Herbivore,Rainforests,52.0,Southeast Asia,Critically Endangered,450.0,Solitary,1.0,Indonesia,True
Sumatran Rhinoceros,128.5,725.0,37.5,Herbivore,Rainforests,52.0,Southeast Asia,Critically Endangered,450.0,Solitary,1.0,Thailand,True
Sumatran Rhinoceros,128.5,725.0,37.5,Herbivore,Rainforests,52.0,Southeast Asia,Critically Endangered,450.0,Solitary,1.0,Vietnam,True
Sumatran Rhinoceros,128.5,725.0,37.5,Herbivore,Rainforests,52.0,Southeast Asia,Critically Endangered,450.0,Solitary,1.0,Malaysia,True
Sumatran Rhinoceros,128.5,725.0,37.5,Herbivore,Rainforests,52.0,Southeast Asia,Critically Endangered,450.0,Solitary,1.0,Cambodia,True
Sumatran Rhinoceros,128.5,725.0,37.5,Herbivore,Rainforests,52.0,Southeast Asia,Critically Endangered,450.0,Solitary,1.0,Laos,True
Sumatran Rhinoceros,128.5,725.0,37.5,Herbivore,Rainforests,52.0,Southeast Asia,Critically Endangered,450.0,Solitary,1.0,Myanmar,True
Sumatran Rhinoceros,128.5,725.0,37.5,Herbivore,Rainforests,52.0,Southeast Asia,Critically Endangered,450.0,Solitary,1.0,Philippines,True
Sumatran Rhinoceros,128.5,725.0,37.5,Herbivore,Rainforests,52.0,Southeast Asia,Critically Endangered,450.0,Solitary,1.0,Singapore,True
Sumatran Tiger,78.5,84.0,17.5,Carnivore,Rainforests,24.0,Sumatra,Critically Endangered,185.0,Solitary,3.0,,True
Sun Bear,135.0,53.5,27.5,Omnivore,Tropical Forests,44.0,Southeast Asia,Vulnerable,120.0,Solitary,1.5,Indonesia,True
Sun Bear,135.0,53.5,27.5,Omnivore,Tropical Forests,44.0,Southeast Asia,Vulnerable,120.0,Solitary,1.5,Thailand,True
Sun Bear,135.0,53.5,27.5,Omnivore,Tropical Forests,44.0,Southeast Asia,Vulnerable,120.0,Solitary,1.5,Vietnam,True
Sun Bear,135.0,53.5,27.5,Omnivore,Tropical Forests,44.0,Southeast Asia,Vulnerable,120.0,Solitary,1.5,Malaysia,True
Sun Bear,135.0,53.5,27.5,Omnivore,Tropical Forests,44.0,Southeast Asia,Vulnerable,120.0,Solitary,1.5,Cambodia,True
Sun Bear,135.0,53.5,27.5,Omnivore,Tropical Forests,44.0,Southeast Asia,Vulnerable,120.0,Solitary,1.5,Laos,True
Sun Bear,135.0,53.5,27.5,Omnivore,Tropical Forests,44.0,Southeast Asia,Vulnerable,120.0,Solitary,1.5,Myanmar,True
Sun Bear,135.0,53.5,27.5,Omnivore,Tropical Forests,44.0,Southeast Asia,Vulnerable,120.0,Solitary,1.5,Philippines,True
Sun Bear,135.0,53.5,27.5,Omnivore,Tropical Forests,44.0,Southeast Asia,Vulnerable,120.0,Solitary,1.5,Singapore,True
Tapir,95.0,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,South and Central America,Vulnerable,392.5,Solitary,1.0,Brazil,True
Tapir,95.0,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,South and Central America,Vulnerable,392.5,Solitary,1.0,Colombia,True
Tapir,95.0,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,South and Central America,Vulnerable,392.5,Solitary,1.0,Peru,True
Tapir,95.0,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,South and Central America,Vulnerable,392.5,Solitary,1.0,Panama,True
Tapir,95.0,275.0,27.5,Herbivore,"Rainforests, Grasslands",48.0,South and Central America,Vulnerable,392.5,Solitary,1.0,Costa Rica,True
Tarsier,,,16.0,Insectivore,Rainforests,45.0,"Southeast Asia, Philippines",Vulnerable,195.0,Solitary,1.0,,True
Tasmanian Devil,53.0,9.0,6.5,"Carnivore, Scavenger","Forests, Grasslands",16.0,"Tasmania, Australia",Endangered,24.5,Solitary,25.0,,True
Tasmanian Tiger,115.0,25.0,5.5,Carnivore,Australia,56.0,Australia,Extinct,124.5,Solitary,2.5,,True
Termite,,,,Herbivore,"Forests, Grasslands",,Worldwide,Not Applicable,,Social groups,,Global,False
Thorny Devil,,,12.5,Insectivore,"Desert, Scrublands",0.24,Australia,Least Concern,,Solitary,,,False
Three-Toed Sloth,52.0,,10.0,Herbivore,Rainforests,20.0,Central and South America,Least Concern,35.0,Solitary,1.5,Brazil,False
Three-Toed Sloth,52.0,,10.0,Herbivore,Rainforests,20.0,Central and South America,Least Concern,35.0,Solitary,1.5,Colombia,False
Three-Toed Sloth,52.0,,10.0,Herbivore,Rainforests,20.0,Central and South America,Least Concern,35.0,Solitary,1.5,Peru,False
Three-Toed Sloth,52.0,,10.0,Herbivore,Rainforests,20.0,Central and South America,Least Concern,35.0,Solitary,1.5,Ecuador,False
Three-Toed Sloth,52.0,,10.0,Herbivore,Rainforests,20.0,Central and South America,Least Concern,35.0,Solitary,1.5,Argentina,False
Three-Toed Sloth,52.0,,10.0,Herbivore,Rainforests,20.0,Central and South America,Least Concern,35.0,Solitary,1.5,Chile,False
Three-Toed Sloth,52.0,,10.0,Herbivore,Rainforests,20.0,Central and South America,Least Concern,35.0,Solitary,1.5,Venezuela,False
Three-Toed Sloth,52.0,,10.0,Herbivore,Rainforests,20.0,Central and South America,Least Concern,35.0,Solitary,1.5,Paraguay,False
Three-Toed Sloth,52.0,,10.0,Herbivore,Rainforests,20.0,Central and South America,Least Concern,35.0,Solitary,1.5,Bolivia,False
Tibetan Mastiff,69.5,69.0,11.0,Omnivore,Human Dwellings,45.0,"Asia, Tibet",Not Applicable,70.0,Social groups,5.5,,False
Tiger,120.5,245.0,12.5,Carnivore,Rainforests,28.0,"Asia, Russia",Endangered,295.0,Solitary,2.5,,True
Titanoboa,,,12.5,Carnivore,Wetlands,27.0,South America,Extinct (around 58 million years ago),445.0,Solitary,,Brazil,False
Titanoboa,,,12.5,Carnivore,Wetlands,27.0,South America,Extinct (around 58 million years ago),445.0,Solitary,,Argentina,False
Titanoboa,,,12.5,Carnivore,Wetlands,27.0,South America,Extinct (around 58 million years ago),445.0,Solitary,,Peru,False
Titanoboa,,,12.5,Carnivore,Wetlands,27.0,South America,Extinct (around 58 million years ago),445.0,Solitary,,Colombia,False
Titanoboa,,,12.5,Carnivore,Wetlands,27.0,South America,Extinct (around 58 million years ago),445.0,Solitary,,Chile,False
Titanoboa,,,12.5,Carnivore,Wetlands,27.0,South America,Extinct (around 58 million years ago),445.0,Solitary,,Ecuador,False
Titanoboa,,,12.5,Carnivore,Wetlands,27.0,South America,Extinct (around 58 million years ago),445.0,Solitary,,Venezuela,False
Titanoboa,,,12.5,Carnivore,Wetlands,27.0,South America,Extinct (around 58 million years ago),445.0,Solitary,,Paraguay,False
Titanoboa,,,12.5,Carnivore,Wetlands,27.0,South America,Extinct (around 58 million years ago),445.0,Solitary,,Bolivia,False
Toco Toucan,60.0,620.0,8.0,Omnivore,Rainforests,35.5,South America,Least Concern,18.5,Flocks,3.0,Brazil,False
Toco Toucan,60.0,620.0,8.0,Omnivore,Rainforests,35.5,South America,Least Concern,18.5,Flocks,3.0,Argentina,False
Toco Toucan,60.0,620.0,8.0,Omnivore,Rainforests,35.5,South America,Least Concern,18.5,Flocks,3.0,Peru,False
Toco Toucan,60.0,620.0,8.0,Omnivore,Rainforests,35.5,South America,Least Concern,18.5,Flocks,3.0,Colombia,False
Toco Toucan,60.0,620.0,8.0,Omnivore,Rainforests,35.5,South America,Least Concern,18.5,Flocks,3.0,Chile,False
Toco Toucan,60.0,620.0,8.0,Omnivore,Rainforests,35.5,South America,Least Concern,18.5,Flocks,3.0,Ecuador,False
Toco Toucan,60.0,620.0,8.0,Omnivore,Rainforests,35.5,South America,Least Concern,18.5,Flocks,3.0,Venezuela,False
Toco Toucan,60.0,620.0,8.0,Omnivore,Rainforests,35.5,South America,Least Concern,18.5,Flocks,3.0,Paraguay,False
Toco Toucan,60.0,620.0,8.0,Omnivore,Rainforests,35.5,South America,Least Concern,18.5,Flocks,3.0,Bolivia,False
Tree Kangaroo,65.0,6.0,17.5,Herbivore,Rainforests,30.0,"Papua New Guinea, Indonesia",Endangered,128.0,Solitary,1.0,,True
Tsetse Fly,,,,Carnivore,Savannahs,,Africa_full_region,Not Applicable,,Solitary,,Africa,False
Tuatara,,,,"Carnivore, Insectivore","Islands, Coastal Areas",0.03,New Zealand,Vulnerable,13.5,Solitary,,,True
Tufted Puffin,38.0,0.7,,Carnivore,Coastal Areas,17.0,North Pacific,Least Concern,126.0,Social groups,1.0,,False
Uakari,51.0,2.5,12.5,Omnivore,Rainforests,20.0,Amazon Basin,Vulnerable,125.0,Group-based,3.5,,True
Vampire Bat,,,10.0,Carnivore,"Caves, Forests",32.0,Americas,Least Concern,60.0,Colony-based,1.0,,False
Vaquita,,,20.5,Carnivore,Gulf of California,,"Gulf of California, Mexico",Critically Endangered,,Solitary,1.0,,True
Vulture,,,,Carnivore,Various,,"Africa, Asia, Americas",Varies,,Social groups,,,False
Walrus,,,45.0,Carnivore,"Arctic, Coastal Areas",40.0,"Arctic, Subarctic",Least Concern,22.5,Group-based,,,False
Warthog,117.5,105.0,17.5,Omnivore,"Savannahs, Grasslands",20.0,Sub-Saharan Africa,Least Concern,190.0,Group-based,18.0,Kenya,False
Warthog,117.5,105.0,17.5,Omnivore,"Savannahs, Grasslands",20.0,Sub-Saharan Africa,Least Concern,190.0,Group-based,18.0,Uganda,False
Warthog,117.5,105.0,17.5,Omnivore,"Savannahs, Grasslands",20.0,Sub-Saharan Africa,Least Concern,190.0,Group-based,18.0,Ethiopia,False
Warthog,117.5,105.0,17.5,Omnivore,"Savannahs, Grasslands",20.0,Sub-Saharan Africa,Least Concern,190.0,Group-based,18.0,Nigeria,False
Warthog,117.5,105.0,17.5,Omnivore,"Savannahs, Grasslands",20.0,Sub-Saharan Africa,Least Concern,190.0,Group-based,18.0,South Africa,False
Warthog,117.5,105.0,17.5,Omnivore,"Savannahs, Grasslands",20.0,Sub-Saharan Africa,Least Concern,190.0,Group-based,18.0,Tanzania,False
Warthog,117.5,105.0,17.5,Omnivore,"Savannahs, Grasslands",20.0,Sub-Saharan Africa,Least Concern,190.0,Group-based,18.0,Zambia,False
Warthog,117.5,105.0,17.5,Omnivore,"Savannahs, Grasslands",20.0,Sub-Saharan Africa,Least Concern,190.0,Group-based,18.0,Rwanda,False
Warthog,117.5,105.0,17.5,Omnivore,"Savannahs, Grasslands",20.0,Sub-Saharan Africa,Least Concern,190.0,Group-based,18.0,Malawi,False
Warthog,117.5,105.0,17.5,Omnivore,"Savannahs, Grasslands",20.0,Sub-Saharan Africa,Least Concern,190.0,Group-based,18.0,Mozambique,False
Water Buffalo,250.0,750.0,22.5,Herbivore,"Grasslands, Wetlands",40.0,"Asia, Africa",Least Concern,255.0,Group-based,265.0,,False
Western Gorilla,170.0,125.0,35.0,Herbivore,Rainforests,40.0,Central Africa,Critically Endangered,245.0,Social groups,1.0,,True
Western Lowland Gorilla,170.0,124.5,35.0,Herbivore,Rainforests,40.0,Central Africa,Critically Endangered,245.0,Social groups,1.0,,True
Whale Shark,,,85.0,Filter Feeder,Oceans,70.0,Worldwide,Endangered,125.0,Solitary,1.0,Global,True
White Rhinoceros,1850.0,2150.0,45.0,Herbivore,Grasslands,45.0,Eastern and Southern Africa,Near Threatened,270.0,Group-based,7.5,Kenya,False
White Rhinoceros,1850.0,2150.0,45.0,Herbivore,Grasslands,45.0,Eastern and Southern Africa,Near Threatened,270.0,Group-based,7.5,Tanzania,False
White Rhinoceros,1850.0,2150.0,45.0,Herbivore,Grasslands,45.0,Eastern and Southern Africa,Near Threatened,270.0,Group-based,7.5,Uganda,False
White Rhinoceros,1850.0,2150.0,45.0,Herbivore,Grasslands,45.0,Eastern and Southern Africa,Near Threatened,270.0,Group-based,7.5,South Africa,False
White Rhinoceros,1850.0,2150.0,45.0,Herbivore,Grasslands,45.0,Eastern and Southern Africa,Near Threatened,270.0,Group-based,7.5,Zimbabwe,False
White Rhinoceros,1850.0,2150.0,45.0,Herbivore,Grasslands,45.0,Eastern and Southern Africa,Near Threatened,270.0,Group-based,7.5,Mozambique,False
White Rhinoceros,1850.0,2150.0,45.0,Herbivore,Grasslands,45.0,Eastern and Southern Africa,Near Threatened,270.0,Group-based,7.5,Botswana,False
White Tiger,250.0,200.0,12.5,Carnivore,Rainforests,22.0,"India, Southeast Asia",Critically Endangered,245.0,Solitary,1.0,,True
Wild Boar,82.5,75.0,17.5,Omnivore,"Forests, Grasslands",20.0,"Eurasia, North Africa, Americas",Least Concern,175.0,Group-based,18.0,,False
Wildebeest,210.0,295.0,22.5,Herbivore,Grasslands,47.0,Eastern and Southern Africa,Least Concern,255.0,Group-based,500.5,Kenya,False
Wildebeest,210.0,295.0,22.5,Herbivore,Grasslands,47.0,Eastern and Southern Africa,Least Concern,255.0,Group-based,500.5,Tanzania,False
Wildebeest,210.0,295.0,22.5,Herbivore,Grasslands,47.0,Eastern and Southern Africa,Least Concern,255.0,Group-based,500.5,Uganda,False
Wildebeest,210.0,295.0,22.5,Herbivore,Grasslands,47.0,Eastern and Southern Africa,Least Concern,255.0,Group-based,500.5,South Africa,False
Wildebeest,210.0,295.0,22.5,Herbivore,Grasslands,47.0,Eastern and Southern Africa,Least Concern,255.0,Group-based,500.5,Zimbabwe,False
Wildebeest,210.0,295.0,22.5,Herbivore,Grasslands,47.0,Eastern and Southern Africa,Least Concern,255.0,Group-based,500.5,Mozambique,False
Wildebeest,210.0,295.0,22.5,Herbivore,Grasslands,47.0,Eastern and Southern Africa,Least Concern,255.0,Group-based,500.5,Botswana,False
Wolf,73.5,51.5,10.5,Carnivore,"Forests, Grasslands",45.0,"Eurasia, North America, North Africa",Least Concern,125.0,Group-based,11.0,,False
Wolverine,37.5,17.0,9.5,"Carnivore, Scavenger","Boreal Forests, Tundra",63.0,"North America, Europe, Asia",Least Concern,42.5,Solitary,2.5,,False
Wombat,101.0,27.5,7.5,Herbivore,"Forests, Grasslands",20.0,Australia,Least Concern,132.0,Solitary,1.0,,False
Woodpecker,12.35,0.045000000000000005,,Insectivore,Forests,,Worldwide,Not Applicable,,Solitary,,Global,False
Woolly Mammoth,,,,Herbivore,Tundra,,Northern Hemisphere,"Extinct (around 4,000 years ago)",,Social groups,,USA,False
Woolly Mammoth,,,,Herbivore,Tundra,,Northern Hemisphere,"Extinct (around 4,000 years ago)",,Social groups,,Canada,False
Woolly Mammoth,,,,Herbivore,Tundra,,Northern Hemisphere,"Extinct (around 4,000 years ago)",,Social groups,,Germany,False
Woolly Mammoth,,,,Herbivore,Tundra,,Northern Hemisphere,"Extinct (around 4,000 years ago)",,Social groups,,Russia,False
Woolly Mammoth,,,,Herbivore,Tundra,,Northern Hemisphere,"Extinct (around 4,000 years ago)",,Social groups,,China,False
Woolly Mammoth,,,,Herbivore,Tundra,,Northern Hemisphere,"Extinct (around 4,000 years ago)",,Social groups,,France,False
Yak,150.0,850.0,22.5,Herbivore,Mountains,24.0,"Himalayas, Central Asia",Least Concern,247.5,Group-based,30.0,,False
Yellow-Eyed Penguin,62.5,2.0,,Carnivore,Coastal Areas,25.0,New Zealand,Endangered,85.0,Solitary,1.0,,True
Yeti Crab,,,,Omnivore,Hydrothermal Vents,,Pacific Ocean,Not Evaluated,,Solitary,,Fiji,False
Yeti Crab,,,,Omnivore,Hydrothermal Vents,,Pacific Ocean,Not Evaluated,,Solitary,,Vanuatu,False
Yeti Crab,,,,Omnivore,Hydrothermal Vents,,Pacific Ocean,Not Evaluated,,Solitary,,Tonga,False
Yeti Crab,,,,Omnivore,Hydrothermal Vents,,Pacific Ocean,Not Evaluated,,Solitary,,Micronesia,False
Yeti Crab,,,,Omnivore,Hydrothermal Vents,,Pacific Ocean,Not Evaluated,,Solitary,,Marshall Islands,False
Zebra,280.0,650.0,22.5,Herbivore,Grasslands,25.0,Africa_full_region,Least Concern,272.5,Group-based,12.5,Africa,False
Zebra Shark,,,27.5,Carnivore,Coral Reefs,20.0,Indo-Pacific region,Endangered,17.5,Solitary,,Indonesia,True
Zebra Shark,,,27.5,Carnivore,Coral Reefs,20.0,Indo-Pacific region,Endangered,17.5,Solitary,,Philippines,True
Zebra Shark,,,27.5,Carnivore,Coral Reefs,20.0,Indo-Pacific region,Endangered,17.5,Solitary,,Australia,True
Zebra Shark,,,27.5,Carnivore,Coral Reefs,20.0,Indo-Pacific region,Endangered,17.5,Solitary,,Malaysia,True
